Year,Filière,Produit,Production,Superficie
2012,Maraîchage,Haricot vert,133744.0,5649.0
2012,Maraîchage,Melon,717601.9,20981.8
2012,Maraîchage,Menthe,99005.5,4005.5
2012,Maraîchage,Myrtille,2972.1498808883152,245.53619909502228
2012,Maraîchage,Navet,131708.0,6502.799999999999
2012,Maraîchage,Niora,34850.0,1960.0
2012,Maraîchage,Oignon,855764.0,30423.9
2012,Maraîchage,Oignon vert,3043.0,179.0
2012,Maraîchage,Pastèque,574859.0,14159.0
2012,Maraîchage,Patate douce,25941.0,957.5
2012,Maraîchage,Petit Pois vert,131325.0,21154.999999999996
2012,Maraîchage,Piment poivron,180591.40000000002,4970.0
2012,Maraîchage,Pomme de terre,1656891.0,59216.89999999999
2012,Maraîchage,Tomate,1219071.5000000002,15639.25
2012,Oliviers,Olivier,1315792.86,885105.47
2012,Oléagineuses,Arachide,36347.999999999796,15498.0
2012,Oléagineuses,Sésame,1610.0,1350.0
2012,Oléagineuses,Tournesol,16722.399999999998,10679.0
2012,Palmiers-Dattiers,Palmier dattier,101862.38,57035.14
2012,Rosacées,Abricotier,122381.59999999999,12223.3
2012,Rosacées,Autres plantations fruitières,46272.72,4301.23
2012,Rosacées,Avocatier,5434.0,2475.0
2012,Rosacées,Bananier,222267.0,5401.8
2012,Rosacées,Caroubier,1137.0,252.0
2012,Rosacées,Cerisier,7196.4,1437.0
2012,Rosacées,Cognassier,45804.0,3386.87
2012,Rosacées,Figuier,102694.72,51020.229999999996
2012,Rosacées,Grenadier,76032.15,8217.94
2012,Rosacées,Noyer,8319.0,4880.7
2012,Rosacées,Néflier,8681.5,473.0
2012,Rosacées,Pacanier,64.0,73.0
2012,Rosacées,Pistachier,104.0,91.0
2012,Rosacées,Poirier,29790.6,2904.33
2012,Rosacées,Pommier,485588.3401327347,40518.47389999989
2012,Rosacées,Prunier,75223.30600242825,14193.948164524687
2012,Rosacées,Pêcher-nectarine,70395.78,5636.5599999999995
2012,Sucrières,Betterave à sucre,1604980.0,30611.0
2012,Sucrières,Canne à sucre,535985.0,15574.0
2012,Vignes,Raisin de cuve,83952.64231999998,9211.112599999999
2012,Vignes,Raisin de table,193158.92901131994,33915.674949999986
2013,Agrumes,Autres agrumes,10901.279999999999,990.96
2013,Agrumes,Citron,26941.79,2675.93
2013,Agrumes,Orange_Autres,37232.69999999995,3559.7899999999995
2013,Agrumes,Orange_Maroc late,354052.8379999999,24020.420000000002
2013,Agrumes,Orange_Navel,277877.24499999994,17658.76999999999
2013,Agrumes,Orange_Navel lane late,11069.125,1477.06
